"filename", "language", "Markdown", "Dart", "YAML", "JSON", "HTML", "Swift", "C++", "XML", "Java Properties", "comment", "blank", "total"
"/media/username/harddrive/Projects/vee/lib/core/network/api_consumer.dart", "Dart", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/media/username/harddrive/Projects/vee/lib/core/network/dio_consumer.dart", "Dart", 0, 39, 0, 0, 0, 0, 0, 0, 0, 5, 10, 54
"/media/username/harddrive/Projects/vee/lib/core/network/interceptors.dart", "Dart", 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 7, 23
"/media/username/harddrive/Projects/vee/lib/core/network/status_code.dart", "Dart", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/media/username/harddrive/Projects/vee/lib/core/routing/app_router.dart", "Dart", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 6, 58
"/media/username/harddrive/Projects/vee/lib/core/routing/routes.dart", "Dart", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/media/username/harddrive/Projects/vee/lib/core/screens/not_found_route_screen.dart", "Dart", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 3, 38
"/media/username/harddrive/Projects/vee/lib/core/services/locale_service.dart", "Dart", 0, 19, 0, 0, 0, 0, 0, 0, 0, 2, 17, 38
"/media/username/harddrive/Projects/vee/lib/core/services/logger_service.dart", "Dart", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31
"/media/username/harddrive/Projects/vee/lib/core/theme/app_colors.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"/media/username/harddrive/Projects/vee/lib/core/theme/app_shadows.dart", "Dart", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"/media/username/harddrive/Projects/vee/lib/core/theme/app_text_styles.dart", "Dart", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 5, 43
"/media/username/harddrive/Projects/vee/lib/core/theme/app_theme.dart", "Dart", 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 7, 82
"/media/username/harddrive/Projects/vee/lib/core/utils/app_border_radius.dart", "Dart", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"/media/username/harddrive/Projects/vee/lib/core/utils/app_duration.dart", "Dart", 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 1, 6
"/media/username/harddrive/Projects/vee/lib/core/utils/app_margin.dart", "Dart", 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 2, 13
"/media/username/harddrive/Projects/vee/lib/core/utils/app_padding.dart", "Dart", 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 2, 13
"/media/username/harddrive/Projects/vee/lib/core/utils/app_shared_preferences.dart", "Dart", 0, 72, 0, 0, 0, 0, 0, 0, 0, 11, 16, 99
"/media/username/harddrive/Projects/vee/lib/core/utils/app_size.dart", "Dart", 0, 30, 0, 0, 0, 0, 0, 0, 0, 1, 2, 33
"/media/username/harddrive/Projects/vee/lib/core/utils/app_utils.dart", "Dart", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 11, 28
"/media/username/harddrive/Projects/vee/lib/core/widgets/app_container.dart", "Dart", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 4, 35
"/media/username/harddrive/Projects/vee/lib/core/widgets/trip_card_info.dart", "Dart", 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 3, 39
"/media/username/harddrive/Projects/vee/lib/features/auth/presentation/cubits/login_cubit.dart", "Dart", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/media/username/harddrive/Projects/vee/lib/features/auth/presentation/cubits/login_state.dart", "Dart", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"/media/username/harddrive/Projects/vee/lib/features/auth/presentation/screens/forgot_password_screen.dart", "Dart", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 4, 51
"/media/username/harddrive/Projects/vee/lib/features/auth/presentation/screens/login_screen.dart", "Dart", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 4, 50
"/media/username/harddrive/Projects/vee/lib/features/auth/presentation/screens/reset_password_screen.dart", "Dart", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 4, 49
"/media/username/harddrive/Projects/vee/lib/features/auth/presentation/widgets/auth_button.dart", "Dart", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
"/media/username/harddrive/Projects/vee/lib/features/auth/presentation/widgets/auth_container.dart", "Dart", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 3, 38
"/media/username/harddrive/Projects/vee/lib/features/auth/presentation/widgets/auth_desc.dart", "Dart", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"/media/username/harddrive/Projects/vee/lib/features/auth/presentation/widgets/auth_form_field.dart", "Dart", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21
"/media/username/harddrive/Projects/vee/lib/features/auth/presentation/widgets/auth_format_screens.dart", "Dart", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"/media/username/harddrive/Projects/vee/lib/features/auth/presentation/widgets/forgot_password.dart", "Dart", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"/media/username/harddrive/Projects/vee/lib/features/auth/presentation/widgets/logo.dart", "Dart", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"/media/username/harddrive/Projects/vee/lib/features/auth/presentation/widgets/remembered_password.dart", "Dart", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 4, 41
"/media/username/harddrive/Projects/vee/lib/features/auth/presentation/widgets/screen_title.dart", "Dart", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"/media/username/harddrive/Projects/vee/lib/features/home/presentation/cubit/home_cubit.dart", "Dart", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/media/username/harddrive/Projects/vee/lib/features/home/presentation/cubit/home_state.dart", "Dart", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
