"filename", "language", "YAML", "Dart", "JSON", "Ruby", "XML", "Markdown", "comment", "blank", "total"
"/media/username/harddrive/Projects/vee/lib/features/driver/home/presentation/cubits/cubit/map_screen_cubit.dart", "Dart", 0, 62, 0, 0, 0, 0, 1, 9, 72
"/media/username/harddrive/Projects/vee/lib/features/driver/home/presentation/cubits/cubit/map_screen_state.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 3, 15
"/media/username/harddrive/Projects/vee/lib/features/driver/home/presentation/cubits/driver_home_cubit/driver_home_cubit.dart", "Dart", 0, 71, 0, 0, 0, 0, 41, 25, 137
"/media/username/harddrive/Projects/vee/lib/features/driver/home/presentation/cubits/driver_home_cubit/driver_home_state.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 4, 18
"/media/username/harddrive/Projects/vee/lib/features/driver/home/presentation/screens/driver_home_screen.dart", "Dart", 0, 4, 0, 0, 0, 0, -69, -6, -71
"/media/username/harddrive/Projects/vee/lib/features/driver/home/presentation/screens/map_view.dart", "Dart", 0, 425, 0, 0, 0, 0, 6, 25, 456
"/media/username/harddrive/Projects/vee/lib/features/driver/home/presentation/widgets/app_error_dialog.dart", "Dart", 0, 23, 0, 0, 0, 0, 0, 3, 26
"/media/username/harddrive/Projects/vee/lib/features/driver/home/presentation/widgets/driver_home_list_view.dart", "Dart", 0, 18, 0, 0, 0, 0, 0, 3, 21
"/media/username/harddrive/Projects/vee/lib/features/driver/home/presentation/widgets/driver_home_listview.dart", "Dart", 0, 63, 0, 0, 0, 0, 0, 8, 71
"/media/username/harddrive/Projects/vee/lib/features/driver/home/presentation/widgets/driver_home_loaded.dart", "Dart", 0, 45, 0, 0, 0, 0, 1, 5, 51
"/media/username/harddrive/Projects/vee/lib/features/driver/home/presentation/widgets/driver_trip_card.dart", "Dart", 0, 40, 0, 0, 0, 0, 0, 3, 43
"/media/username/harddrive/Projects/vee/lib/features/driver/home/presentation/widgets/home_list_view.dart", "Dart", 0, -18, 0, 0, 0, 0, 0, -3, -21
"/media/username/harddrive/Projects/vee/lib/features/driver/home/presentation/widgets/home_trip_card.dart", "Dart", 0, -33, 0, 0, 0, 0, 0, -3, -36
"/media/username/harddrive/Projects/vee/lib/features/driver/home/presentation/widgets/start_button.dart", "Dart", 0, 5, 0, 0, 0, 0, 0, 0, 5
"/media/username/harddrive/Projects/vee/lib/features/driver/home/presentation/widgets/trip_loding.dart", "Dart", 0, 54, 0, 0, 0, 0, 3, 5, 62
"/media/username/harddrive/Projects/vee/lib/features/mechanic/home/data/datasources/mechanic_home_remot_data_source.dart", "Dart", 0, 22, 0, 0, 0, 0, 0, 2, 24
"/media/username/harddrive/Projects/vee/lib/features/mechanic/home/data/mapper/mechanic_home_mapper.dart", "Dart", 0, 61, 0, 0, 0, 0, 1, 10, 72
"/media/username/harddrive/Projects/vee/lib/features/mechanic/home/data/models/finish_repair_model.dart", "Dart", 0, 20, 0, 0, 0, 0, 0, 5, 25
"/media/username/harddrive/Projects/vee/lib/features/mechanic/home/data/models/maintenance_respons.dart", "Dart", 0, 91, 0, 0, 0, 0, 0, 13, 104
"/media/username/harddrive/Projects/vee/lib/features/mechanic/home/data/models/mechanic_home_response.dart", "Dart", 0, 12, 0, 0, 0, 0, 1, 5, 18
"/media/username/harddrive/Projects/vee/lib/features/mechanic/home/data/models/part_model.dart", "Dart", 0, 20, 0, 0, 0, 0, 0, 4, 24
"/media/username/harddrive/Projects/vee/lib/features/mechanic/home/data/models/start_repair_model.dart", "Dart", 0, 27, 0, 0, 0, 0, 0, 10, 37
"/media/username/harddrive/Projects/vee/lib/features/mechanic/home/data/repositories/mechanic_home_repository_impl.dart", "Dart", 0, 109, 0, 0, 0, 0, 0, 10, 119
"/media/username/harddrive/Projects/vee/lib/features/mechanic/home/di/mechanic_di.dart", "Dart", 0, 35, 0, 0, 0, 0, 6, 7, 48
"/media/username/harddrive/Projects/vee/lib/features/mechanic/home/domain/entities/maintenance_entitied.dart", "Dart", 0, 45, 0, 0, 0, 0, 1, 11, 57
"/media/username/harddrive/Projects/vee/lib/features/mechanic/home/domain/repositories/mechanic_home_repository.dart", "Dart", 0, 13, 0, 0, 0, 0, 0, 1, 14
"/media/username/harddrive/Projects/vee/lib/features/mechanic/home/domain/usecases/finish_repair_use_case.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 3, 17
"/media/username/harddrive/Projects/vee/lib/features/mechanic/home/domain/usecases/get_maintenance_use_case.dart", "Dart", 0, 16, 0, 0, 0, 0, 1, 5, 22
"/media/username/harddrive/Projects/vee/lib/features/mechanic/home/domain/usecases/get_parts_use_case.dart", "Dart", 0, 13, 0, 0, 0, 0, 0, 4, 17
"/media/username/harddrive/Projects/vee/lib/features/mechanic/home/domain/usecases/start_repair_use_case.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 6, 20
"/media/username/harddrive/Projects/vee/lib/features/mechanic/home/presentation/cubit/mechanic_home_cubit.dart", "Dart", 0, 65, 0, 0, 0, 0, 1, 9, 75
"/media/username/harddrive/Projects/vee/lib/features/mechanic/home/presentation/cubit/mechanic_home_state.dart", "Dart", 0, 25, 0, 0, 0, 0, 3, 6, 34
"/media/username/harddrive/Projects/vee/lib/features/mechanic/home/presentation/screens/mechanic_home_screen.dart", "Dart", 0, 24, 0, 0, 0, 0, 4, 5, 33
"/media/username/harddrive/Projects/vee/lib/features/mechanic/home/presentation/widgets/finish_repair_bottom_sheet.dart", "Dart", 0, 570, 0, 0, 0, 0, 2, 55, 627
"/media/username/harddrive/Projects/vee/lib/features/mechanic/home/presentation/widgets/mechanic_home_card.dart", "Dart", 0, 69, 0, 0, 0, 0, 1, 5, 75
"/media/username/harddrive/Projects/vee/lib/features/mechanic/home/presentation/widgets/mechanic_home_listview.dart", "Dart", 0, 103, 0, 0, 0, 0, 3, 9, 115
"/media/username/harddrive/Projects/vee/lib/features/mechanic/home/presentation/widgets/mechanic_home_loded.dart", "Dart", 0, 25, 0, 0, 0, 0, 0, 3, 28
"/media/username/harddrive/Projects/vee/lib/features/mechanic/home/presentation/widgets/mechanic_start_button.dart", "Dart", 0, 34, 0, 0, 0, 0, 0, 6, 40
"/media/username/harddrive/Projects/vee/lib/features/mechanic/home/presentation/widgets/start_repair_bottom_sheet.dart", "Dart", 0, 618, 0, 0, 0, 0, 2, 60, 680
"/media/username/harddrive/Projects/vee/lib/features/mechanic/notificatinos/presentation/cubit/notificatinos_cubit.dart", "Dart", 0, 6, 0, 0, 0, 0, 0, 3, 9
"/media/username/harddrive/Projects/vee/lib/features/mechanic/notificatinos/presentation/cubit/notificatinos_state.dart", "Dart", 0, 7, 0, 0, 0, 0, 0, 4, 11
"/media/username/harddrive/Projects/vee/lib/features/shared/auth/data/models/business_user_dto.g.dart", "Dart", 0, -15, 0, 0, 0, 0, -4, -5, -24
"/media/username/harddrive/Projects/vee/lib/features/shared/auth/data/models/forogt_password_request_body.g.dart", "Dart", 0, -6, 0, 0, 0, 0, -4, -6, -16
"/media/username/harddrive/Projects/vee/lib/features/shared/auth/data/models/login_request_body.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 2, 2
"/media/username/harddrive/Projects/vee/lib/features/shared/auth/data/models/login_request_body.g.dart", "Dart", 0, -6, 0, 0, 0, 0, -4, -6, -16
"/media/username/harddrive/Projects/vee/lib/features/shared/auth/data/models/login_response.dart", "Dart", 0, 5, 0, 0, 0, 0, 0, 1, 6
"/media/username/harddrive/Projects/vee/lib/features/shared/auth/data/models/login_response.g.dart", "Dart", 0, -22, 0, 0, 0, 0, -4, -5, -31
"/media/username/harddrive/Projects/vee/lib/features/shared/auth/di/auth_di.dart", "Dart", 0, -8, 0, 0, 0, 0, 6, 4, 2
"/media/username/harddrive/Projects/vee/lib/features/shared/auth/presentation/cubits/forgot_passwprd_cubit/forgot_password_state.freezed.dart", "Dart", 0, -511, 0, 0, 0, 0, -42, -78, -631
"/media/username/harddrive/Projects/vee/lib/features/shared/auth/presentation/cubits/login_cubit/login_cubit.dart", "Dart", 0, -2, 0, 0, 0, 0, 0, 1, -1
"/media/username/harddrive/Projects/vee/lib/features/shared/auth/presentation/cubits/login_cubit/login_state.freezed.dart", "Dart", 0, -511, 0, 0, 0, 0, -42, -78, -631
"/media/username/harddrive/Projects/vee/lib/features/shared/auth/presentation/screens/reset_password_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, -1, -1
"/media/username/harddrive/Projects/vee/lib/features/shared/auth/presentation/widgets/login_bloc_listener.dart", "Dart", 0, 2, 0, 0, 0, 0, 0, 1, 3
"/media/username/harddrive/Projects/vee/lib/features/shared/onboarding/presentation/widgets/on_boarding_welcome.dart", "Dart", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/media/username/harddrive/Projects/vee/lib/firebase_options.dart", "Dart", 0, 53, 0, 0, 0, 0, 12, 4, 69
"/media/username/harddrive/Projects/vee/lib/main.dart", "Dart", 0, -20, 0, 0, 0, 0, 0, -8, -28
"/media/username/harddrive/Projects/vee/lib/main_dev.dart", "Dart", 0, 26, 0, 0, 0, 0, 0, 9, 35
"/media/username/harddrive/Projects/vee/lib/main_proud.dart", "Dart", 0, 24, 0, 0, 0, 0, 0, 9, 33
"/media/username/harddrive/Projects/vee/pubspec.yaml", "YAML", 4, 0, 0, 0, 0, 0, 0, 0, 4
"Total", "-", 4, 3098, 68, 7, 17, 19, 28, 417, 3658
